"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"POLR2J",0.380677690875381,716,0.0044242262997505,0.0509347349415071,"Yes"
"RPS6",0.22693713641061,2243,0.125918813018862,0.344696382049386,"Yes"
"RPL5",0.201358295638849,2623,0.112274585940155,0.324923932409507,"Yes"
"DRD4",0.188266730987455,2836,0.00732114478159121,0.0692083881691114,"Yes"
"MFAP5",0.130662300979635,4008,0.42637808791005,0.655224070989559,"No"
"MAPK9",0.076289501406162,5366,0.230190113226393,0.473522837647131,"No"
"EIF1AD",0.0671246672320169,5626,0.259697779876214,0.504197629596342,"No"
"CTSE",0.0453439699112243,6337,0.66679720117001,0.831807512586228,"No"
"MAT1A",0.0226145621424118,7245,0.912971458259622,0.959234662557033,"No"
"NUP50",-0.0079522969460224,9223,0.908276047194603,0.956998243877477,"No"
"MTF2",-0.0101232438727434,9419,0.887329221707186,0.947106645414215,"No"
"OTOL1",-0.0113823025387935,9538,0.110531227080437,0.322223947413509,"No"
"LZTFL1",-0.038264947393795,11531,0.584822796578902,0.777734276725888,"No"
"E2F3",-0.0420113125214212,11771,0.636847477516061,0.814029310180246,"No"
"GGACT",-0.0441888916805624,11898,0.607553291168918,0.793955432885675,"No"
"SCGB1D2",-0.0454123184058006,11973,0.882958302142093,0.945261636595535,"No"
"WDPCP",-0.097477927057823,14315,0.0437200501742457,0.193843241876929,"No"
"ANKRD26",-0.143240132970623,15712,0.0759069692035469,0.265860293830746,"No"
"PATJ",-0.206903580866096,16883,0.0452882728211415,0.197159408871256,"No"
"PLEK2",-0.226119885264007,17116,0.0573691206929253,0.226635321733924,"No"
"WFDC2",-0.31051097908968,17836,0.225005983722231,0.468052939071198,"No"
